Date,Open,High,Low,Close
2015-01-05,0.16045,0.16065,0.16042,0.16063
2015-01-06,0.16058,0.16103,0.16057,0.16085
2015-01-07,0.16098,0.16106,0.16088,0.16091
2015-01-08,0.16087,0.16092,0.16067,0.16081
2015-01-09,0.16083,0.16108,0.16082,0.16101
2015-01-12,0.16119,0.16139,0.16119,0.1612
2015-01-13,0.16135,0.16144,0.1612,0.16129
2015-01-14,0.16138,0.16146,0.16133,0.16133
2015-01-15,0.16139,0.1616,0.16132,0.16152
2015-01-16,0.1612,0.16132,0.1605,0.16053
2015-01-19,0.16043,0.16073,0.16039,0.1607
2015-01-20,0.16067,0.16086,0.16056,0.16079
2015-01-21,0.1607,0.16096,0.16063,0.16085
2015-01-22,0.16084,0.16101,0.16082,0.16098
2015-01-23,0.16071,0.1608,0.16007,0.16008
2015-01-26,0.15974,0.16002,0.15952,0.15979
2015-01-27,0.15993,0.16019,0.15985,0.16015
2015-01-28,0.16024,0.16024,0.15989,0.15995
2015-01-29,0.15975,0.15987,0.15965,0.15979
2015-01-30,0.15968,0.15984,0.15922,0.15922
2015-02-02,0.15927,0.15951,0.15918,0.15937
2015-02-03,0.15955,0.15969,0.15935,0.15954
2015-02-04,0.15978,0.16006,0.15978,0.15999
2015-02-05,0.15966,0.15994,0.1596,0.1599
2015-02-06,0.16014,0.16037,0.16004,0.16017
2015-02-09,0.15999,0.16005,0.15987,0.16004
2015-02-10,0.15995,0.1602,0.15994,0.16001
2015-02-11,0.15991,0.16015,0.1599,0.16009
2015-02-12,0.16,0.16015,0.15994,0.16011
2015-02-13,0.16023,0.16033,0.16013,0.16015
2015-02-16,0.16001,0.16009,0.15943,0.1595
2015-02-17,0.15955,0.15957,0.15909,0.15923
2015-02-25,0.15961,0.15966,0.15939,0.1595
2015-02-26,0.15948,0.15959,0.15939,0.15958
2015-02-27,0.15926,0.1593,0.1589,0.15899
2015-03-02,0.15878,0.15912,0.15868,0.15911
2015-03-03,0.15896,0.15917,0.15894,0.15911
2015-03-04,0.1591,0.15933,0.1591,0.15919
2015-03-05,0.15903,0.15939,0.15894,0.15929
2015-03-06,0.15937,0.15947,0.15929,0.15936
2015-03-09,0.15929,0.15933,0.15922,0.15929
2015-03-10,0.15933,0.15946,0.15928,0.15935
2015-03-11,0.15927,0.15941,0.15924,0.15926
2015-03-12,0.15922,0.15944,0.1592,0.15936
2015-03-13,0.15935,0.1595,0.15899,0.1591
2015-03-16,0.15917,0.15937,0.15917,0.15931
2015-03-17,0.15952,0.15998,0.15949,0.15995
2015-03-18,0.16009,0.16038,0.16005,0.1603
2015-03-19,0.16076,0.16126,0.16076,0.16093
